trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
18.18.1-1,20:00:00,20:00:00,3347,1,0
18.18.1-1,20:25:00,20:25:00,3780,2,0
18.18.1-1,20:26:00,20:26:00,4149,3,0
18.18.1-1,20:30:00,20:30:00,3492,4,0
18.18.1-1,20:40:00,20:40:00,3481,5,0
18.18.1-1,20:41:00,20:41:00,3581,6,0
18.18.1-1,20:45:00,20:45:00,3477,7,0
18.6.1-1,08:50:00,08:50:00,3589,1,0
18.6.1-1,08:55:00,08:55:00,3588,2,0
18.6.1-1,09:02:00,09:02:00,3903,3,0
18.6.1-1,09:03:00,09:03:00,3586,4,0
18.6.1-1,09:12:00,09:12:00,3963,5,0
18.6.1-1,09:13:00,09:13:00,3583,6,0
18.6.1-1,09:30:00,09:30:00,4170,7,0
18.6.1-1,09:31:00,09:31:00,3581,8,0
18.6.1-1,09:45:00,09:45:00,3491,9,0
18.6.1-1,09:46:00,09:46:00,4150,10,0
18.6.1-1,09:47:00,09:47:00,3779,11,0
18.6.1-1,10:10:00,10:10:00,3347,12,0
18.6.1-3,07:30:00,07:30:00,3589,1,0
18.6.1-3,07:35:00,07:35:00,3588,2,0
18.6.1-3,07:42:00,07:42:00,3903,3,0
18.6.1-3,07:43:00,07:43:00,3586,4,0
18.6.1-3,07:52:00,07:52:00,3963,5,0
18.6.1-3,07:53:00,07:53:00,3583,6,0
18.6.1-3,08:00:00,08:00:00,4170,7,0
18.6.1-3,08:01:00,08:01:00,3581,8,0
18.6.1-3,08:15:00,08:15:00,3491,9,0
18.6.1-3,08:16:00,08:16:00,4150,10,0
18.6.1-3,08:17:00,08:17:00,3779,11,0
18.6.1-3,08:40:00,08:40:00,3347,12,0
18.6.1-4,15:15:00,15:15:00,3589,1,0
18.6.1-4,15:20:00,15:20:00,3588,2,0
18.6.1-4,15:25:00,15:25:00,3903,3,0
18.6.1-4,15:26:00,15:26:00,3586,4,0
18.6.1-4,15:35:00,15:35:00,3963,5,0
18.6.1-4,15:36:00,15:36:00,3583,6,0
18.6.1-4,15:45:00,15:45:00,4170,7,0
18.6.1-4,15:46:00,15:46:00,3581,8,0
18.6.1-4,16:00:00,16:00:00,3491,9,0
18.6.1-4,16:01:00,16:01:00,4150,10,0
18.6.1-4,16:02:00,16:02:00,3779,11,0
18.6.1-4,16:30:00,16:30:00,3347,12,0
18.1.1-1,15:30:00,15:30:00,3478,1,0
18.1.1-1,15:35:00,15:35:00,4170,2,0
18.1.1-1,15:40:00,15:40:00,3581,3,0
18.1.1-1,15:54:00,15:54:00,3491,4,0
18.1.1-1,15:55:00,15:55:00,4150,5,0
18.1.1-1,15:56:00,15:56:00,3779,6,0
18.1.1-1,16:25:00,16:25:00,3347,7,0
18.1.1-4,19:00:00,19:00:00,3478,1,0
18.1.1-4,19:05:00,19:05:00,4170,2,0
18.1.1-4,19:10:00,19:10:00,3581,3,0
18.1.1-4,19:24:00,19:24:00,3491,4,0
18.1.1-4,19:25:00,19:25:00,4150,5,0
18.1.1-4,19:26:00,19:26:00,3779,6,0
18.1.1-4,19:50:00,19:50:00,3347,7,0
79.6.2-0,20:15:00,20:15:00,3031,1,0
79.6.2-0,20:29:00,20:29:00,4022,2,0
79.6.2-0,20:31:00,20:31:00,4041,3,0
79.6.2-0,20:33:00,20:33:00,3108,4,0
79.6.2-0,20:37:00,20:37:00,3106,5,0
79.6.2-0,20:40:00,20:40:00,3104,6,0
79.6.2-0,20:42:00,20:42:00,3102,7,0
79.6.2-0,20:46:00,20:46:00,4043,8,0
79.6.2-0,20:50:00,20:50:00,3098,9,0
79.6.2-0,20:52:00,20:52:00,4109,10,0
79.6.2-0,20:58:00,20:58:00,4237,11,0
79.6.2-0,21:02:00,21:02:00,3091,12,0
79.6.2-0,21:10:00,21:10:00,3089,13,0
79.6.2-0,21:17:00,21:17:00,3087,14,0
79.9.2-1,19:00:00,19:00:00,3087,1,0
79.9.2-1,19:07:00,19:07:00,3090,2,0
79.9.2-1,19:15:00,19:15:00,3091,3,0
