route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
18,1,18.18.1-1,Logroño - Sartaguda,0,18.18.1_shape
18,2,18.6.1-1,Azagra - Logroño,1,18.6.1_shape
18,3,18.6.1-3,Azagra - Logroño,1,18.6.1_shape
18,4,18.6.1-4,Azagra - Logroño,1,18.6.1_shape
18,5,18.1.1-1,Sartaguda - Logroño,1,18.1.1_shape
18,6,18.1.1-4,Sartaguda - Logroño,1,18.1.1_shape
79,7,79.6.2-0,Pamplona - Caseda,1,79.6.2_shape
79,8,79.9.2-1,Caseda - Pamplona,0,79.9.2_shape
80,9,80.12.2-0,Tafalla - Sangüesa,1,80.12.2_shape
47,10,47.96.3-3,Pamplona - Sartaguda (desde Estella),1,47.96.3_shape
48,11,48.101.2-0,Otiñano - Estella,0,48.101.2_shape
48,12,48.101.2-1,Otiñano - Estella,0,48.101.2_shape
41,13,41.35.3-0,Oteiza - Estella,0,41.35.3_shape
41,14,41.35.3-1,Oteiza - Estella,0,41.35.3_shape
24,15,24.25.2-2,Azagra - Calahorra,0,24.25.2_shape
24,16,24.25.2-3,Azagra - Calahorra,0,24.25.2_shape
24,17,24.25.2-4,Azagra - Calahorra,0,24.25.2_shape
24,18,24.26.2-0,Calahorra - Andosilla,1,24.26.2_shape
24,19,24.27.2-0,Andosilla - Calahorra,0,24.27.2_shape
24,20,24.16.2-0,Calahorra - San Adrián,1,24.16.2_shape
24,21,24.16.2-1,Calahorra - San Adrián,1,24.16.2_shape
24,22,24.17.2-1,San Adrián - Calahorra,0,24.17.2_shape
23,23,23.1.2-0,Calahorra - San Adrián,1,23.1.2_shape
23,24,23.7.2-0,Calahorra - Sartaguda,1,23.7.2_shape
23,25,23.7.2-1,Calahorra - Sartaguda,1,23.7.2_shape
23,26,23.7.2-2,Calahorra - Sartaguda,1,23.7.2_shape
23,27,23.10.2-0,Carcar - Calahorra,0,23.10.2_shape
52,28,52.127.4-0,San Sebastián - Calahorra,1,52.127.4_shape
23,29,23.15.2-3,Sartaguda - Calahorra (Carcar Pueblo),0,23.15.2_shape
23,30,23.17.1-0,Sartaguda - Calahorra (Carcar Cadena),0,23.17.1_shape
23,31,23.18.1-0,Sartaguda - Calahorra (Andosilla Puente  Carcar Cadena),0,23.18.1_shape
23,32,23.19.1-1,Sartaguda - Calahorra (por Azagra)),0,23.19.1_shape
23,33,23.19.1-2,Sartaguda - Calahorra (por Azagra)),0,23.19.1_shape
23,34,23.19.1-3,Sartaguda - Calahorra (por Azagra)),0,23.19.1_shape
23,35,23.20.1-3,Calahorra - Carcar,1,23.20.1_shape
23,36,23.20.1-4,Calahorra - Carcar,1,23.20.1_shape
23,37,23.21.1-2,Calahorra - Carcar,1,23.21.1_shape
54,38,54.60.4-0,Alsasua - Vitoria,0,54.60.4_shape
54,39,54.27.3-2,Pamplona - Alsasua - Salvatierra - Vitoria,0,54.27.3_shape
54,40,54.27.3-3,Pamplona - Alsasua - Salvatierra - Vitoria,0,54.27.3_shape
73,41,73.1.1-2,Iribas/Baraibar - Lekunberri,0,73.1.1_shape
54,42,54.72.1-8,Vitoria - Salvatierra - Alsasua - Pamplona,1,54.72.1_shape
74,43,74.5.1-3,Pamplona - Lekunberri,1,74.5.1_shape
74,44,74.5.1-4,Pamplona - Lekunberri,1,74.5.1_shape
74,45,74.6.1-2,Lekunberri - Pamplona,0,74.6.1_shape
74,46,74.8.1-3,Pamplona - Aldatz,1,74.8.1_shape
