service_id,date,exception_type
ALAVES_014001,20210801,1
ALAVES_014101,20210801,1
ALAVES_014001,20210802,1
ALAVES_014101,20210802,1
ALAVES_014001,20210803,1
ALAVES_014101,20210803,1
ALAVES_014001,20210804,1
ALAVES_014101,20210804,1
ALAVES_014001,20210805,1
ALAVES_014101,20210805,1
ALAVES_014001,20210808,1
ALAVES_014101,20210808,1
ALAVES_014001,20210810,1
ALAVES_014101,20210810,1
ALAVES_014001,20210811,1
ALAVES_014101,20210811,1
ALAVES_014001,20210812,1
ALAVES_014101,20210812,1
ALAVES_014001,20210813,1
ALAVES_014101,20210813,1
ALAVES_014001,20210814,1
ALAVES_014101,20210814,1
ALAVES_014001,20210815,1
ALAVES_014101,20210815,1
ALAVES_014001,20210816,1
ALAVES_014101,20210816,1
ALAVES_014001,20210817,1
ALAVES_014101,20210817,1
ALAVES_014001,20210818,1
ALAVES_014101,20210818,1
ALAVES_014001,20210819,1
ALAVES_014101,20210819,1
ALAVES_014001,20210820,1
ALAVES_014101,20210820,1
ALAVES_014001,20210821,1
ALAVES_014101,20210821,1
ALAVES_014001,20210822,1
ALAVES_014101,20210822,1
ALAVES_014001,20210823,1
ALAVES_014101,20210823,1
ALAVES_014001,20210824,1
ALAVES_014101,20210824,1
ALAVES_014001,20210825,1
ALAVES_014101,20210825,1
ALAVES_014001,20210826,1
ALAVES_014101,20210826,1
ALAVES_014001,20210827,1
ALAVES_014101,20210827,1
ALAVES_014001,20210828,1
ALAVES_014101,20210828,1
ALAVES_014001,20210829,1
ALAVES_014101,20210829,1
ALAVES_014001,20210830,1
ALAVES_014101,20210830,1
ALAVES_014001,20210831,1
ALAVES_014101,20210831,1
FE5VIR04_010401,20210613,1
FE5VIR04_010402,20210613,1
FE5VIR04_010403,20210613,1
FE5VIR04_010401,20210620,1
FE5VIR04_010402,20210620,1
FE5VIR04_010403,20210620,1
FE5VIR04_010401,20210627,1
FE5VIR04_010402,20210627,1
FE5VIR04_010403,20210627,1
FE5VIR04_010401,20210704,1
FE5VIR04_010402,20210704,1
FE5VIR04_010403,20210704,1
FE5VIR04_010401,20210711,1
FE5VIR04_010402,20210711,1
FE5VIR04_010403,20210711,1
FE5VIR04_010401,20210718,1
FE5VIR04_010402,20210718,1
FE5VIR04_010403,20210718,1
FE5VIR04_010401,20210725,1
FE5VIR04_010402,20210725,1
FE5VIR04_010403,20210725,1
FE5VIR04_010401,20210905,1
FE5VIR04_010402,20210905,1
FE5VIR04_010403,20210905,1
FE5VIR04_010401,20210912,1
FE5VIR04_010402,20210912,1
FE5VIR04_010403,20210912,1
FE5VIR04_010401,20210919,1
FE5VIR04_010402,20210919,1
FE5VIR04_010403,20210919,1
FE5VIR04_010401,20210926,1
FE5VIR04_010402,20210926,1
FE5VIR04_010403,20210926,1
FE5VIR04_010401,20211003,1
FE5VIR04_010402,20211003,1
FE5VIR04_010403,20211003,1
FE5VIR04_010401,20211010,1
FE5VIR04_010402,20211010,1
FE5VIR04_010403,20211010,1
FE5VIR04_010401,20211017,1
FE5VIR04_010402,20211017,1
FE5VIR04_010403,20211017,1
FE5VIR04_010401,20211024,1
FE5VIR04_010402,20211024,1
FE5VIR04_010403,20211024,1
FE5VIR04_010401,20211031,1
FE5VIR04_010402,20211031,1
FE5VIR04_010403,20211031,1
FE5VIR05_010501,20210613,1
FE5VIR05_010502,20210613,1
FE5VIR05_010503,20210613,1
FE5VIR05_010501,20210620,1
FE5VIR05_010502,20210620,1
FE5VIR05_010503,20210620,1
FE5VIR05_010501,20210627,1
FE5VIR05_010502,20210627,1
FE5VIR05_010503,20210627,1
FE5VIR05_010501,20210704,1
FE5VIR05_010502,20210704,1
FE5VIR05_010503,20210704,1
FE5VIR05_010501,20210711,1
FE5VIR05_010502,20210711,1
FE5VIR05_010503,20210711,1
FE5VIR05_010501,20210718,1
FE5VIR05_010502,20210718,1
FE5VIR05_010503,20210718,1
FE5VIR05_010501,20210725,1
FE5VIR05_010502,20210725,1
FE5VIR05_010503,20210725,1
FE5VIR05_010501,20210905,1
FE5VIR05_010502,20210905,1
FE5VIR05_010503,20210905,1
FE5VIR05_010501,20210912,1
FE5VIR05_010502,20210912,1
FE5VIR05_010503,20210912,1
FE5VIR05_010501,20210919,1
FE5VIR05_010502,20210919,1
FE5VIR05_010503,20210919,1
FE5VIR05_010501,20210926,1
FE5VIR05_010502,20210926,1
FE5VIR05_010503,20210926,1
FE5VIR05_010501,20211003,1
FE5VIR05_010502,20211003,1
FE5VIR05_010503,20211003,1
FE5VIR05_010501,20211010,1
FE5VIR05_010502,20211010,1
FE5VIR05_010503,20211010,1
FE5VIR05_010501,20211017,1
FE5VIR05_010502,20211017,1
FE5VIR05_010503,20211017,1
FE5VIR05_010501,20211024,1
FE5VIR05_010502,20211024,1
FE5VIR05_010503,20211024,1
FE5VIR05_010501,20211031,1
FE5VIR05_010502,20211031,1
FE5VIR05_010503,20211031,1
FE5VIR06_010601,20210613,1
FE5VIR06_010602,20210613,1
FE5VIR06_010603,20210613,1
FE5VIR06_010601,20210620,1
FE5VIR06_010602,20210620,1
FE5VIR06_010603,20210620,1
FE5VIR06_010601,20210627,1
FE5VIR06_010602,20210627,1
FE5VIR06_010603,20210627,1
FE5VIR06_010601,20210704,1
FE5VIR06_010602,20210704,1
FE5VIR06_010603,20210704,1
FE5VIR06_010601,20210711,1
FE5VIR06_010602,20210711,1
FE5VIR06_010603,20210711,1
FE5VIR06_010601,20210718,1
FE5VIR06_010602,20210718,1
FE5VIR06_010603,20210718,1
